"variable","Estimate","Std..Error","z.value","Pr...z.."
"PAR_ASEV10",-38.2996556551997,655.997370872156,-0.058383855417408,0.95344287434534
"PAR_ASEV11",-321.704641158851,668.523980229953,-0.481216307376429,0.630362771991046
"PAR_ASEV12",-554.791010165003,593.037807875006,-0.935506982519292,0.349527086568182
"PAR_ASEV13",777.377413025193,536.02093389469,1.45027435286309,0.146982028085583
"PAR_ASEV14",37.7206705888905,579.030142426456,0.0651445716294147,0.948058892749232
"PAR_ASEV15",-66.7042198615105,566.144942924357,-0.117821806403423,0.906208850881512
"PAR_ASEV16",682.350063258743,585.187284614157,1.16603706402925,0.24359946038272
"PAR_ASEV17",29.6480658952252,591.613672936192,0.0501138956915603,0.960031626491598
"PAR_ASEV18",-653.260607846357,604.304208474971,-1.0810128387074,0.279691402680875
"PAR_ASEV19",-1835.98346275847,708.286704876073,-2.59214729024133,0.0095378926939177
"PAR_ASEV20",-1435.83525227433,654.909806556732,-2.19241678456979,0.0283494257656656
"PAR_ASEV21",-451.315881963719,789.902402779631,-0.571356512368564,0.567758001330208
"PAR_ASEV22",-233.940657381195,980.373310708977,-0.238624057617415,0.811397108667236
"PAR_ASEV23",1121.1837832451,1025.65507349673,1.09313921630855,0.274332679881521
"PAR_ASEV24",3616.23613544794,1111.54860696149,3.25333153476143,0.00114060335000001
"PAR_ASEV25",3993.39891503984,1190.37704990796,3.35473446446956,0.000794411996787238
"PAR_ASEV26",2481.29052790445,1181.65765372842,2.09983874777552,0.0357430284329422
"PAR_ASEV27",987.056078493901,1570.43253253187,0.628524981523757,0.529660086784673
"PAR_ASEV28",5174.46411326541,1643.79065210418,3.14788510729251,0.00164456318680834
"PAR_ASEV29",-2952.45229980735,1853.4531674374,-1.59294680420193,0.111172125218648
"PAR_ASEV30",347.064729483319,1694.55642234138,0.204811551216322,0.837719361758522
"PAR_ASEV31",198.680213076392,1312.86436297428,0.151333388794471,0.879712732128454
"PAR_ASEV32",1143.50552276718,828.735015646091,1.37982045066081,0.167641934305525
"PAR_ASEV33",-37115.4599837016,25733.3369443427,-1.44231041873725,0.149214822305627
"PAR_ASEV34",34019.4565986466,25920.569597356,1.3124501940774,0.189368280470399
